,A,2,3,4,5,6,7,8,9,10,
5,94,114,103,161,140,138,150,116,128,495,
6,88,104,122,134,110,139,140,135,134,506,
7,179,271,257,201,238,261,253,252,267,966,
8,201,207,279,224,255,249,252,250,294,1040,
9,278,404,428,408,445,380,407,180,365,1618,
10,262,432,458,420,449,466,444,397,488,1665,
11,96,116,108,93,121,92,111,81,143,486,
12,0,0,0,0,893,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,849,0,0,0,0,
18,0,803,831,731,685,681,715,749,0,0,
19,587,836,646,560,669,579,744,731,757,3231,
20,216,246,232,83,69,86,120,263,206,1424,
21,180,136,113,119,93,85,119,199,159,921,
A-2,69,106,115,116,102,140,121,105,124,488,
A-3,74,147,117,99,113,115,117,92,135,535,
A-4,78,165,112,103,132,143,111,150,154,523,
A-5,88,140,112,139,134,170,175,135,179,636,
A-6,91,159,23,127,178,150,163,166,202,680,
A-7,102,172,168,179,169,157,164,169,175,713,
A-8,116,213,192,198,174,198,167,189,223,834,
A-9,136,224,115,186,193,164,204,196,217,866,
A-10,63,184,152,111,79,115,88,129,126,618,
2-2,65,30,61,104,101,112,103,53,134,489,
3-3,29,131,84,98,139,104,146,46,104,454,
4-4,32,95,137,15,44,147,55,74,40,196,
5-5,70,133,58,49,40,63,43,46,54,197,
6-6,59,110,132,132,76,82,68,125,125,424,
7-7,93,114,114,145,98,129,115,109,98,466,
8-8,68,101,114,51,119,78,94,98,147,438,
9-9,102,59,95,133,105,106,58,52,99,457,
10-10,653,950,947,943,903,905,948,963,931,3137,
A-A,0,0,0,0,0,0,0,0,0,0,
