,A,2,3,4,5,6,7,8,9,10,
5,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
6,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
7,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
8,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,
9,HIT,HIT,HIT,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,
10,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,
11,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,
12,HIT,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,
13,HIT,DOUBLE,DOUBLE,DOUBLE,STAND,STAND,HIT,HIT,HIT,HIT,
14,HIT,DOUBLE,HIT,STAND,STAND,DOUBLE,DOUBLE,HIT,HIT,HIT,
15,HIT,STAND,STAND,STAND,STAND,STAND,DOUBLE,HIT,HIT,HIT,
16,DOUBLE,STAND,STAND,STAND,STAND,STAND,DOUBLE,DOUBLE,DOUBLE,HIT,
17,DOUBLE,STAND,STAND,STAND,STAND,STAND,STAND,DOUBLE,STAND,STAND,
18,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
19,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
20,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
21,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
A-2,HIT,HIT,HIT,DOUBLE,HIT,DOUBLE,HIT,HIT,HIT,HIT,
A-3,HIT,HIT,HIT,DOUBLE,HIT,DOUBLE,HIT,HIT,HIT,HIT,
A-4,HIT,HIT,HIT,HIT,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,
A-5,HIT,HIT,HIT,DOUBLE,HIT,DOUBLE,HIT,HIT,HIT,HIT,
A-6,HIT,HIT,HIT,HIT,DOUBLE,DOUBLE,HIT,HIT,HIT,HIT,
A-7,HIT,STAND,DOUBLE,STAND,DOUBLE,STAND,STAND,STAND,HIT,HIT,
A-8,STAND,STAND,STAND,STAND,DOUBLE,DOUBLE,STAND,STAND,STAND,HIT,
A-9,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
A-10,STAND,STAND,DOUBLE,STAND,DOUBLE,STAND,STAND,STAND,STAND,STAND,
A-A,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,DOUBLE,SPLIT,SPLIT,SPLIT,SPLIT,
2-2,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
3-3,HIT,SPLIT,SPLIT,SPLIT,HIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
4-4,HIT,HIT,HIT,HIT,HIT,HIT,HIT,HIT,SPLIT,HIT,
5-5,HIT,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,HIT,HIT,DOUBLE,HIT,
6-6,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
7-7,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
8-8,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,SPLIT,
9-9,SPLIT,STAND,STAND,STAND,STAND,STAND,STAND,SPLIT,SPLIT,SPLIT,
10-10,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,STAND,
