,A,2,3,4,5,6,7,8,9,10,
5,[118 1133 122 0],[148 1673 157 0],[149 1700 154 0],[157 1731 135 0],[144 1655 149 0],[177 1683 173 0],[180 1777 163 0],[173 1594 136 0],[164 1814 161 0],[588 6381 529 0],
6,[105 1085 123 0],[142 1535 157 0],[141 1773 180 0],[151 1576 147 0],[139 1716 168 0],[169 1630 149 0],[176 1648 170 0],[177 1539 149 0],[160 1670 179 0],[581 6347 562 0],
7,[221 2378 219 0],[306 3323 342 0],[296 3464 332 0],[308 3412 304 0],[289 3347 298 0],[333 3390 338 0],[304 3350 320 0],[315 3420 338 0],[326 3389 323 0],[1215 12768 1181 0],
8,[197 2416 230 0],[307 3512 327 0],[298 3564 303 0],[318 2855 1232 0],[320 3212 592 0],[305 391 3441 0],[320 3546 298 0],[341 3537 309 0],[337 3743 317 0],[1155 13253 1196 0],
9,[350 3687 364 0],[480 5237 838 0],[467 494 5689 0],[533 498 5397 0],[486 487 5208 0],[484 502 5471 0],[498 5320 673 0],[504 5414 514 0],[527 5432 492 0],[1852 20559 1727 0],
10,[355 3961 342 0],[514 468 5701 0],[520 507 5993 0],[500 511 5864 0],[518 476 5826 0],[518 491 5605 0],[502 501 5678 0],[505 493 5742 0],[477 528 5835 0],[1917 21620 1940 0],
11,[67 78 1197 0],[84 71 1744 0],[70 86 1375 0],[51 69 1290 0],[81 69 1299 0],[57 62 970 0],[79 81 1659 0],[73 82 1555 0],[82 137 1612 0],[346 6515 390 0],
12,[799 9385 853 0],[1603 10715 3264 0],[1563 2349 11684 0],[1234 1150 12720 0],[1667 1179 12609 0],[1394 1221 12169 0],[1263 12762 1985 0],[1269 12639 1614 0],[1277 13463 1141 0],[4666 53547 4699 0],
13,[919 10432 1145 0],[3249 6765 7388 0],[7208 1609 6858 0],[11465 1208 3189 0],[9170 1248 4727 0],[4784 1228 9149 0],[1207 10419 5693 0],[1269 12579 3270 0],[1299 15187 1286 0],[4837 58481 4825 0],
14,[851 9673 1511 0],[4616 2188 8290 0],[7059 1147 5453 0],[5395 1114 6173 0],[10640 1087 1663 0],[7735 1085 3547 0],[1121 1731 12726 0],[1168 10981 3706 0],[1308 12723 2319 0],[4569 56053 4553 0],
15,[1102 9671 1886 0],[9862 1347 4762 0],[9689 1146 3440 0],[10991 1078 1979 0],[9731 1052 2877 0],[9502 1167 2342 0],[1203 1174 13588 0],[1190 1399 14284 0],[1341 12890 3520 0],[4684 59000 5384 0],
16,[1167 2084 8636 0],[11010 1024 2087 0],[9934 1005 1546 0],[9833 970 1530 0],[9823 1026 1496 0],[7148 896 2715 0],[1086 1033 12095 0],[1078 1048 13064 0],[1641 1699 13165 0],[4248 54897 7352 0],
17,[4779 1356 6070 0],[12450 1033 1109 0],[10600 1029 1029 0],[10473 1016 1019 0],[9927 943 1048 0],[9560 991 1071 0],[12132 1076 1027 0],[2206 1050 12167 0],[10157 1100 6070 0],[61706 4200 5507 0],
18,[9273 739 693 0],[9825 896 827 0],[8187 908 888 0],[8107 882 833 0],[8190 872 869 0],[7084 861 807 0],[10173 959 896 0],[10704 838 966 0],[12911 1030 975 0],[55284 3823 3745 0],
19,[9179 686 674 0],[9874 902 917 0],[6734 863 872 0],[6779 834 878 0],[7240 887 880 0],[6822 832 870 0],[9691 902 887 0],[10798 966 937 0],[11758 981 955 0],[55455 3837 3790 0],
20,[4438 262 226 0],[1687 258 244 0],[571 222 214 0],[498 216 244 0],[402 234 231 0],[475 218 208 0],[2074 315 242 0],[2824 253 258 0],[4222 324 319 0],[27861 1474 1452 0],
21,[3150 326 0 0],[1792 307 0 0],[612 309 0 0],[506 287 0 0],[502 289 0 0],[477 324 0 0],[2252 349 0 0],[2935 349 0 0],[4350 427 0 0],[23661 1846 0 0],
A-2,[98 1096 102 0],[147 1632 173 0],[155 1820 167 0],[166 1776 148 0],[153 167 1617 0],[168 1673 133 0],[166 1709 161 0],[153 1643 150 0],[164 1763 167 0],[598 6525 615 0],
A-3,[103 1177 109 0],[151 1854 125 0],[172 155 1815 0],[163 178 1931 0],[167 1565 160 0],[178 178 1830 0],[142 1822 147 0],[178 1806 193 0],[163 1940 162 0],[619 6982 595 0],
A-4,[109 1208 107 0],[184 1865 192 0],[179 1860 198 0],[141 1620 235 0],[155 1691 182 0],[161 152 1622 0],[171 1990 142 0],[177 1898 193 0],[177 1905 147 0],[679 7181 658 0],
A-5,[122 1400 129 0],[181 2066 200 0],[190 2039 156 0],[167 2095 243 0],[158 1807 244 0],[169 171 1813 0],[191 2153 199 0],[187 2161 180 0],[161 2181 189 0],[686 8011 655 0],
A-6,[125 1572 122 0],[184 2382 233 0],[189 2196 286 0],[177 2323 192 0],[191 206 2202 0],[153 152 1758 0],[192 2335 203 0],[209 2391 183 0],[191 2473 187 0],[724 8980 699 0],
A-7,[135 1617 161 0],[233 206 2765 0],[222 197 2584 0],[194 190 2624 0],[210 184 2236 0],[193 178 1982 0],[2641 207 156 0],[2637 216 203 0],[214 2688 180 0],[784 10077 773 0],
A-8,[1749 130 147 0],[2808 207 178 0],[182 162 2583 0],[2510 181 192 0],[2349 202 188 0],[181 188 1797 0],[2698 253 222 0],[2669 222 213 0],[2896 209 189 0],[1225 10360 773 0],
A-9,[1921 165 150 0],[2777 237 246 0],[2213 199 207 0],[187 193 2248 0],[2095 208 213 0],[180 195 1758 0],[2821 243 211 0],[2814 207 183 0],[3006 211 217 0],[12142 828 814 0],
A-10,[1137 81 72 0],[1228 94 92 0],[1117 74 100 0],[1103 96 96 0],[481 92 81 0],[276 69 70 0],[1251 106 83 0],[1170 88 113 0],[1462 112 101 0],[7528 483 445 0],
A-A,[32 36 34 1039],[66 49 76 1620],[44 65 109 1642],[73 65 64 1731],[57 49 721 116],[56 53 715 107],[63 57 59 1636],[46 48 118 1592],[58 44 57 1599],[232 235 183 6350],
2-2,[39 515 39 72],[46 50 50 1489],[56 58 54 1753],[53 42 57 1738],[51 63 49 1623],[43 62 48 1694],[53 56 46 1646],[64 683 43 93],[50 67 57 1622],[202 195 218 6050],
3-3,[35 40 18 1156],[50 69 42 1668],[55 51 49 1498],[65 62 48 1701],[65 653 45 140],[58 59 59 1598],[59 50 63 1686],[49 56 67 1731],[57 92 57 1650],[203 213 196 6050],
4-4,[35 458 36 83],[51 725 60 120],[51 44 54 1692],[41 626 42 70],[76 680 71 116],[58 49 695 90],[59 683 70 97],[61 704 63 86],[52 690 51 115],[211 201 210 6135],
5-5,[39 510 46 84],[48 57 680 114],[55 45 699 93],[63 57 727 160],[53 39 605 81],[53 53 702 119],[57 62 666 87],[56 56 718 125],[51 68 741 109],[197 2257 571 426],
6-6,[50 42 47 1162],[58 46 49 1746],[52 63 44 1782],[56 60 47 1785],[51 60 49 1594],[48 52 48 1347],[65 50 67 1687],[50 56 48 1715],[52 58 46 1708],[196 189 232 5990],
7-7,[36 36 27 1181],[67 54 57 1728],[62 57 62 1524],[62 53 53 1636],[56 61 63 1814],[67 46 171 1472],[39 61 49 1477],[42 55 54 1604],[61 53 48 1644],[206 194 183 6367],
8-8,[38 35 40 1202],[52 43 52 1666],[54 65 51 1716],[64 53 55 1653],[63 61 55 1636],[67 57 66 1587],[57 76 62 1833],[54 48 38 1453],[50 58 53 1597],[197 210 203 6009],
9-9,[35 35 35 1186],[61 52 70 1672],[730 44 44 75],[718 60 60 107],[65 48 55 1784],[704 60 51 122],[682 65 65 107],[709 52 68 113],[57 34 45 1368],[217 200 195 6605],
10-10,[8404 663 660 1414],[12168 1083 964 2062],[11831 926 990 2126],[11981 892 942 2095],[12050 1020 972 2059],[11996 904 983 1911],[12143 943 944 1891],[12148 917 940 2189],[12133 973 954 2039],[42874 3485 3477 7038],
