,A,2,3,4,5,6,7,8,9,10,
5,658,898,944,964,966,943,976,964,979,3549,
6,691,877,997,901,932,944,969,945,982,3547,
7,1314,1882,1855,1855,1933,1807,1948,1891,2007,7013,
8,1336,1915,1889,2007,1540,1919,2006,1982,1938,7340,
9,2027,2866,1965,3025,3059,3023,2674,2965,3132,11133,
10,2087,3188,3025,3069,3136,2917,3087,3034,2971,11314,
11,348,531,514,496,424,408,608,541,565,2103,
12,5106,4136,7232,6932,6574,7162,6680,7429,7733,28104,
13,5614,7049,6884,7352,7523,7475,6456,7060,7970,29322,
14,4902,5128,5033,5135,5476,5966,7148,5718,7104,26675,
15,3702,5900,4957,6849,6597,6586,7207,7302,6903,28118,
16,4770,5706,6192,5689,5900,5711,6521,6733,7063,18981,
17,3352,6539,6263,6107,6152,5991,6517,6627,6194,26170,
18,4314,5462,5293,5210,5203,5033,5736,5840,6225,23525,
19,4294,5451,5125,5093,5010,4973,5623,5895,5861,23471,
20,1551,1383,1305,1324,1290,1405,1571,1831,2373,9530,
21,1655,1531,1532,1536,1625,1463,1916,2098,2427,10051,
A-2,605,604,1007,978,868,901,975,977,963,3630,
A-3,624,998,921,871,980,1007,958,962,1016,3693,
A-4,654,835,862,788,959,1037,1022,1030,1077,3977,
A-5,768,818,1034,1104,1016,1111,1104,1115,1125,4276,
A-6,744,1092,1150,1065,1169,1037,1203,1113,1201,4246,
A-7,817,1171,1147,1149,1157,1079,1189,1267,1214,4758,
A-8,877,1220,1172,1154,1228,1134,1323,1246,1350,4615,
A-9,887,1279,1327,1121,1159,1150,1259,1336,1287,5166,
A-10,489,598,649,539,590,546,620,638,780,2818,
A-A,533,740,803,778,746,801,780,744,810,3006,
2-2,582,745,843,913,780,373,853,848,741,2961,
3-3,559,833,741,802,764,758,898,790,824,2940,
4-4,257,361,369,338,303,385,342,376,787,3079,
5-5,253,388,363,409,314,337,354,416,360,1293,
6-6,591,712,756,777,790,683,828,742,883,2881,
7-7,541,863,781,740,842,785,674,750,780,2930,
8-8,582,776,868,739,769,745,876,721,805,2984,
9-9,568,779,857,690,399,308,360,763,699,2915,
10-10,4696,6869,6807,6786,6706,6765,6602,6647,6783,23915,
