,A,2,3,4,5,6,7,8,9,10,
5,[-0.589867 0.097593 -1.149148  _ ],[-0.219505 0.098040 -0.471235  _ ],[-0.216545 0.129875 -0.440908  _ ],[-0.147292 0.121831 -0.409882  _ ],[-0.134308 0.147808 -0.100803  _ ],[-0.160391 0.138191 -0.269704  _ ],[-0.420309 0.121097 -0.882876  _ ],[-0.527955 0.114740 -0.997998  _ ],[-0.555557 0.093355 -0.982471  _ ],[-0.578923 0.072108 -1.069458  _ ],
6,[-0.631366 0.079167 -1.191113  _ ],[-0.295582 0.099555 -0.561794  _ ],[-0.219357 0.117261 -0.396845  _ ],[-0.148008 0.126165 -0.398018  _ ],[-0.185706 0.126116 -0.211669  _ ],[-0.143621 0.134691 -0.216580  _ ],[-0.471504 0.117845 -0.751855  _ ],[-0.491624 0.103672 -0.993577  _ ],[-0.465825 0.085148 -1.023019  _ ],[-0.540812 0.066989 -1.019996  _ ],
7,[-0.653998 0.067195 -1.139719  _ ],[-0.293540 0.088492 -0.457413  _ ],[-0.169250 0.118284 -0.417996  _ ],[-0.218485 0.117195 -0.149512  _ ],[-0.159348 0.122785 -0.256886  _ ],[-0.097314 0.135972 -0.055557  _ ],[-0.427834 0.117034 -0.612948  _ ],[-0.527554 0.091583 -0.907045  _ ],[-0.544877 0.075197 -1.018628  _ ],[-0.568301 0.060549 -0.914514  _ ],
8,[-0.661164 0.075749 -0.806973  _ ],[-0.358700 0.110517 -0.099194  _ ],[-0.289240 0.147953 -0.111131  _ ],[-0.240617 0.158634 -0.062104  _ ],[-0.159953 0.192066 -0.029572  _ ],[-0.168997 0.210121 0.166556  _ ],[-0.513434 0.224618 -0.234743  _ ],[-0.521295 0.121853 -0.515773  _ ],[-0.534484 0.069712 -0.689056  _ ],[-0.570299 0.055353 -0.806618  _ ],
9,[-0.687270 0.152786 -0.542297  _ ],[-0.291149 0.219610 -0.007748  _ ],[-0.270069 0.221084 0.042142  _ ],[-0.149719 0.245301 0.179352  _ ],[-0.180880 0.237740 0.203783  _ ],[-0.112384 0.270912 0.201727  _ ],[-0.530610 0.345676 -0.042322  _ ],[-0.515412 0.262962 -0.066203  _ ],[-0.544457 0.179768 -0.400894  _ ],[-0.532929 0.086169 -0.420402  _ ],
10,[-0.674935 0.298987 -0.038058  _ ],[-0.283321 0.331980 0.219808  _ ],[-0.264688 0.291592 0.436780  _ ],[-0.250233 0.305765 0.577545  _ ],[-0.098189 0.332276 0.526948  _ ],[-0.150950 0.377082 0.332730  _ ],[-0.459805 0.387800 0.319591  _ ],[-0.519703 0.375647 0.196740  _ ],[-0.550888 0.326932 0.167921  _ ],[-0.528688 0.247417 0.129699  _ ],
11,[-0.426222 0.350057 0.263813  _ ],[-0.247517 0.297038 0.481485  _ ],[-0.200480 0.281258 0.609718  _ ],[-0.139048 0.287939 0.582154  _ ],[-0.124824 0.313804 0.677809  _ ],[-0.061777 0.293681 0.620058  _ ],[-0.438058 0.434242 0.328986  _ ],[-0.447928 0.375226 0.298008  _ ],[-0.457395 0.387694 0.264810  _ ],[-0.503243 0.355296 0.099257  _ ],
12,[-0.658040 -0.183725 -0.625131  _ ],[-0.321378 -0.158360 -0.224388  _ ],[-0.223324 -0.127127 -0.206426  _ ],[-0.232678 -0.148586 -0.277514  _ ],[-0.226354 -0.138222 -0.253985  _ ],[-0.209883 -0.097330 -0.187594  _ ],[-0.528171 -0.082813 -0.201682  _ ],[-0.540073 -0.129844 -0.259808  _ ],[-0.522576 -0.175139 -0.391150  _ ],[-0.498754 -0.157979 -0.497537  _ ],
13,[-0.657061 -0.193401 -0.508793  _ ],[-0.286770 -0.340204 -0.357705  _ ],[-0.303554 -0.279738 -0.345353  _ ],[-0.253721 -0.291002 -0.305337  _ ],[-0.140460 -0.260601 -0.224340  _ ],[-0.256830 -0.165615 -0.258334  _ ],[-0.532485 -0.212209 -0.291901  _ ],[-0.438986 -0.241034 -0.334470  _ ],[-0.508314 -0.215436 -0.385461  _ ],[-0.581391 -0.312506 -0.431753  _ ],
14,[-0.672797 -0.302025 -0.550125  _ ],[-0.362551 -0.297472 -0.369707  _ ],[-0.386830 -0.288304 -0.393289  _ ],[-0.282940 -0.295313 -0.154854  _ ],[-0.243354 -0.298961 -0.266313  _ ],[-0.221848 -0.317799 -0.282290  _ ],[-0.498431 -0.269040 -0.371254  _ ],[-0.485656 -0.322862 -0.377644  _ ],[-0.581754 -0.249145 -0.406954  _ ],[-0.529401 -0.348393 -0.513313  _ ],
15,[-0.628489 -0.417338 -0.521142  _ ],[-0.267286 -0.397441 -0.406545  _ ],[-0.244073 -0.419245 -0.371415  _ ],[-0.167191 -0.419089 -0.351553  _ ],[-0.135518 -0.417664 -0.296623  _ ],[-0.130934 -0.381591 -0.317023  _ ],[-0.482244 -0.390787 -0.166415  _ ],[-0.511978 -0.376320 -0.423557  _ ],[-0.545921 -0.386206 -0.508406  _ ],[-0.576781 -0.404557 -0.504529  _ ],
16,[-0.697676 -0.528462 -0.439635  _ ],[-0.205272 -0.480469 -0.411838  _ ],[-0.315337 -0.411894 -0.371768  _ ],[-0.184646 -0.467459 -0.349764  _ ],[-0.196224 -0.458407 -0.338202  _ ],[-0.200070 -0.462934 -0.267703  _ ],[-0.533646 -0.407619 -0.236692  _ ],[-0.496125 -0.491356 -0.336130  _ ],[-0.538677 -0.448913 -0.538280  _ ],[-0.572319 -0.479725 -0.612913  _ ],
17,[-0.502381 -0.562054 -0.539784  _ ],[-0.172723 -0.555220 -0.364053  _ ],[-0.064646 -0.514427 -0.419174  _ ],[-0.061339 -0.517794 -0.295922  _ ],[-0.090466 -0.545409 -0.429384  _ ],[0.051941 -0.476330 -0.336258  _ ],[-0.139948 -0.484754 -0.259021  _ ],[-0.492742 -0.481246 -0.263574  _ ],[-0.366538 -0.526420 -0.510202  _ ],[-0.434689 -0.600155 -0.588424  _ ],
18,[-0.067520 -0.636532 -0.464962  _ ],[0.131950 -0.607633 -0.458604  _ ],[0.076201 -0.609224 -0.527528  _ ],[0.145998 -0.613980 -0.471844  _ ],[0.238534 -0.594727 -0.443127  _ ],[0.315724 -0.577347 -0.521571  _ ],[0.393232 -0.591565 -0.248986  _ ],[0.122593 -0.581843 -0.446416  _ ],[-0.226691 -0.607385 -0.447438  _ ],[-0.166968 -0.631353 -0.523412  _ ],
19,[0.235657 -0.734335 -0.567952  _ ],[0.376531 -0.705112 -0.619168  _ ],[0.428811 -0.697964 -0.618742  _ ],[0.414544 -0.697898 -0.613372  _ ],[0.436183 -0.724516 -0.608094  _ ],[0.445232 -0.694543 -0.549359  _ ],[0.626336 -0.699216 -0.582280  _ ],[0.571195 -0.743158 -0.539177  _ ],[0.273315 -0.696725 -0.544746  _ ],[0.019932 -0.664804 -0.575563  _ ],
20,[0.661742 -0.843517 -0.795748  _ ],[0.675618 -0.857402 -0.743448  _ ],[0.677667 -0.845952 -0.803599  _ ],[0.682434 -0.844699 -0.797405  _ ],[0.679334 -0.840157 -0.791007  _ ],[0.735133 -0.855498 -0.766186  _ ],[0.761329 -0.853708 -0.750777  _ ],[0.826830 -0.851513 -0.807552  _ ],[0.752447 -0.820717 -0.760129  _ ],[0.598258 -0.814707 -0.748452  _ ],
21,[0.905340 -0.999223 0.000000  _ ],[0.879371 -0.999594 0.000000  _ ],[0.887949 -0.999325 0.000000  _ ],[0.882412 -0.999075 0.000000  _ ],[0.882741 -0.998823 0.000000  _ ],[0.907860 -0.998693 0.000000  _ ],[0.926172 -0.999795 0.000000  _ ],[0.927431 -0.999920 0.000000  _ ],[0.942734 -0.999949 0.000000  _ ],[0.970180 -1.000000 0.000000  _ ],
A-2,[-0.566663 0.198324 -0.536366  _ ],[-0.302084 0.209081 -0.101914  _ ],[-0.207752 0.231066 -0.088652  _ ],[-0.240441 0.226990 -0.046407  _ ],[-0.148930 0.210541 0.148973  _ ],[-0.085668 0.255014 0.041585  _ ],[-0.452414 0.270031 -0.177827  _ ],[-0.461432 0.243974 -0.210954  _ ],[-0.571016 0.210763 -0.505550  _ ],[-0.514065 0.197717 -0.473564  _ ],
A-3,[-0.641339 0.192488 -0.577268  _ ],[-0.277375 0.188483 -0.061104  _ ],[-0.279336 0.205043 0.128162  _ ],[-0.232636 0.188489 0.061948  _ ],[-0.173487 0.211620 0.117519  _ ],[-0.147635 0.230066 0.059152  _ ],[-0.476600 0.279628 -0.087651  _ ],[-0.463543 0.246975 -0.250478  _ ],[-0.556336 0.204360 -0.378287  _ ],[-0.530764 0.192590 -0.567111  _ ],
A-4,[-0.620102 0.172207 -0.524684  _ ],[-0.294029 0.167230 -0.088707  _ ],[-0.225085 0.194116 0.045060  _ ],[-0.183316 0.180550 0.170899  _ ],[-0.123304 0.183083 0.177799  _ ],[-0.160956 0.219533 0.116326  _ ],[-0.390494 0.271240 -0.108203  _ ],[-0.458111 0.226133 -0.220650  _ ],[-0.515898 0.171545 -0.389332  _ ],[-0.539231 0.159600 -0.461579  _ ],
A-5,[-0.598196 0.144075 -0.562624  _ ],[-0.285429 0.167715 -0.245816  _ ],[-0.281245 0.192560 -0.051496  _ ],[-0.172808 0.167496 0.142035  _ ],[-0.166252 0.182769 0.112053  _ ],[-0.100165 0.186028 0.129509  _ ],[-0.421775 0.208938 -0.276545  _ ],[-0.561220 0.209932 -0.390452  _ ],[-0.466482 0.169775 -0.362294  _ ],[-0.598676 0.166224 -0.512123  _ ],
A-6,[-0.480626 0.156197 -0.435631  _ ],[-0.124261 0.180600 -0.119802  _ ],[-0.079820 0.160972 0.031146  _ ],[-0.078444 0.178240 0.094795  _ ],[-0.041977 0.174021 0.129427  _ ],[0.026567 0.180317 0.117444  _ ],[-0.097411 0.202138 0.035735  _ ],[-0.365038 0.199804 -0.296739  _ ],[-0.444565 0.148893 -0.372316  _ ],[-0.403936 0.138571 -0.389400  _ ],
A-7,[-0.048711 0.132227 -0.250648  _ ],[0.107367 0.177214 0.129129  _ ],[0.157771 0.193348 0.071985  _ ],[0.115154 0.222410 0.160767  _ ],[0.188756 0.210084 0.150631  _ ],[0.225599 0.216189 0.402679  _ ],[0.414280 0.258117 0.306942  _ ],[0.043351 0.177280 -0.040974  _ ],[-0.194934 0.145763 -0.298249  _ ],[-0.200380 0.134724 -0.309734  _ ],
A-8,[0.313895 0.164359 -0.180432  _ ],[0.368317 0.229400 0.093455  _ ],[0.423310 0.246970 0.209732  _ ],[0.386216 0.250041 0.335978  _ ],[0.441472 0.258724 0.311130  _ ],[0.546607 0.268544 0.411326  _ ],[0.659538 0.337780 0.391283  _ ],[0.588730 0.304958 0.052342  _ ],[0.196667 0.226433 -0.136374  _ ],[0.098380 0.143490 -0.188226  _ ],
A-9,[0.668010 0.264400 -0.123504  _ ],[0.666200 0.301433 0.393515  _ ],[0.629675 0.308181 0.408509  _ ],[0.680743 0.298662 0.481199  _ ],[0.696942 0.336454 0.526739  _ ],[0.740054 0.336992 0.424392  _ ],[0.796029 0.372398 0.374198  _ ],[0.801325 0.376166 0.176677  _ ],[0.734663 0.325750 0.137078  _ ],[0.568190 0.244994 -0.116503  _ ],
A-10,[0.932744 0.261346 0.107741  _ ],[0.887331 0.310382 0.420636  _ ],[0.883760 0.324494 0.545694  _ ],[0.881877 0.311894 0.492798  _ ],[0.883638 0.321745 0.609895  _ ],[0.908543 0.346530 0.425431  _ ],[0.925895 0.398750 0.428605  _ ],[0.930008 0.366206 0.428531  _ ],[0.944681 0.328499 0.326271  _ ],[0.957720 0.339562 0.106035  _ ],
A-A,[-0.356693 0.063963 -0.358990 0.421126],[-0.219402 0.114770 -0.079256 0.422173],[-0.152256 0.125265 -0.048423 0.470411],[-0.180531 0.116746 0.146966 0.474386],[-0.096330 0.122503 0.171574 0.469244],[-0.054692 0.159247 0.253705 0.529828],[-0.277509 0.141207 -0.131775 0.537114],[-0.338731 0.135896 -0.246808 0.458957],[-0.409890 0.110872 -0.304489 0.422838],[-0.553484 0.178957 -0.615781 0.406276],
