,A,2,3,4,5,6,7,8,9,10,
5,[-0.452278 0.069168 -0.846508  _ ],[-0.232283 0.110606 -0.605176  _ ],[-0.347552 0.131999 -0.281438  _ ],[-0.259007 0.130971 -0.340582  _ ],[-0.128704 0.164783 -0.168795  _ ],[-0.162162 0.144914 -0.093008  _ ],[-0.463434 0.123610 -0.638217  _ ],[-0.576634 0.136463 -0.648660  _ ],[-0.423547 0.080262 -0.720253  _ ],[-0.539216 0.081967 -1.211782  _ ],
6,[-0.467334 0.063265 -0.828151  _ ],[-0.251179 0.097558 -0.633424  _ ],[-0.182177 0.127932 -0.118618  _ ],[-0.074476 0.112815 -0.368322  _ ],[-0.244243 0.130112 -0.287687  _ ],[-0.232732 0.161521 0.054565  _ ],[-0.380517 0.123532 -0.743425  _ ],[-0.374506 0.118574 -0.692452  _ ],[-0.444100 0.087122 -0.890778  _ ],[-0.534507 0.067021 -1.113369  _ ],
7,[-0.590298 0.050907 -1.088586  _ ],[-0.375540 0.095384 -0.235622  _ ],[-0.290217 0.091142 -0.427553  _ ],[-0.161051 0.119731 -0.170103  _ ],[-0.201454 0.118081 -0.239218  _ ],[-0.159301 0.143030 -0.114693  _ ],[-0.462636 0.116521 -0.709053  _ ],[-0.347702 0.106949 -0.647085  _ ],[-0.481635 0.069674 -0.837361  _ ],[-0.565932 0.064621 -0.864137  _ ],
8,[-0.616869 0.052678 -0.765771  _ ],[-0.182508 0.135705 0.073771  _ ],[-0.248053 0.117922 -0.064089  _ ],[-0.160034 0.134589 -0.073133  _ ],[-0.137416 0.203271 0.038271  _ ],[-0.203543 0.208744 -0.032343  _ ],[-0.472703 0.270243 -0.203039  _ ],[-0.534560 0.143850 -0.616488  _ ],[-0.559562 0.057297 -0.517682  _ ],[-0.545592 0.066162 -0.787094  _ ],
9,[-0.605315 0.142543 -0.554125  _ ],[-0.317073 0.248140 0.149651  _ ],[-0.153581 0.216663 0.070356  _ ],[0.025414 0.244381 0.161924  _ ],[-0.263823 0.254352 0.161414  _ ],[-0.040300 0.259380 0.039798  _ ],[-0.482627 0.338636 -0.051522  _ ],[-0.518461 0.318098 -0.090377  _ ],[-0.450430 0.161286 -0.191364  _ ],[-0.614531 0.087703 -0.407078  _ ],
10,[-0.701380 0.288329 0.069127  _ ],[-0.348471 0.329546 0.256055  _ ],[-0.358161 0.293184 0.468924  _ ],[-0.120839 0.319747 0.229211  _ ],[-0.199318 0.290420 0.694538  _ ],[-0.310177 0.303679 0.641520  _ ],[-0.487060 0.398535 0.243936  _ ],[-0.461149 0.397992 0.343057  _ ],[-0.561326 0.350872 0.234826  _ ],[-0.435814 0.254531 0.045364  _ ],
11,[-0.229128 0.308093 -0.020053  _ ],[-0.093175 0.204897 0.374087  _ ],[-0.185960 0.234489 0.518616  _ ],[-0.230366 0.165017 0.379154  _ ],[0.005880 0.211526 0.675094  _ ],[-0.065405 0.311766 0.571580  _ ],[-0.300156 0.205032 0.571771  _ ],[-0.272193 0.369491 0.099428  _ ],[-0.246421 0.265198 0.171652  _ ],[-0.410799 0.379111 0.250808  _ ],
12,[-0.738748 -0.215860 -0.414252  _ ],[-0.284743 -0.169333 -0.466153  _ ],[-0.424610 -0.159614 -0.277763  _ ],[-0.323746 -0.220531 -0.286097  _ ],[-0.297389 -0.053380 -0.319869  _ ],[-0.244096 -0.179860 -0.268887  _ ],[-0.474321 -0.056735 -0.335237  _ ],[-0.578474 -0.120158 -0.280589  _ ],[-0.602525 -0.247991 -0.425623  _ ],[-0.425905 -0.176246 -0.561987  _ ],
13,[-0.646100 -0.260899 -0.471851  _ ],[-0.364279 -0.285317 -0.384782  _ ],[-0.308248 -0.183872 -0.472132  _ ],[-0.168122 -0.383548 -0.377059  _ ],[-0.191071 -0.330725 -0.441197  _ ],[-0.330793 -0.218171 -0.333400  _ ],[-0.416501 -0.182808 -0.413516  _ ],[-0.445434 -0.279225 -0.341609  _ ],[-0.555305 -0.270449 -0.514971  _ ],[-0.449828 -0.354671 -0.375427  _ ],
14,[-0.740685 -0.347614 -0.535355  _ ],[-0.390436 -0.401016 -0.184217  _ ],[-0.387760 -0.316194 -0.395293  _ ],[-0.251889 -0.327931 -0.352703  _ ],[-0.118650 -0.355949 -0.384801  _ ],[-0.174142 -0.308279 -0.317992  _ ],[-0.397739 -0.143035 -0.466593  _ ],[-0.562455 -0.222443 -0.455641  _ ],[-0.533807 -0.301056 -0.631130  _ ],[-0.610660 -0.365397 -0.467572  _ ],
15,[-0.657485 -0.375413 -0.472873  _ ],[-0.200851 -0.455782 -0.411374  _ ],[-0.205441 -0.461012 -0.422463  _ ],[-0.429659 -0.446651 -0.351781  _ ],[-0.222006 -0.402541 -0.341725  _ ],[-0.177110 -0.369536 -0.363490  _ ],[-0.520050 -0.411934 -0.109901  _ ],[-0.488538 -0.483252 -0.297458  _ ],[-0.525986 -0.370478 -0.485784  _ ],[-0.566720 -0.382638 -0.523917  _ ],
16,[-0.717597 -0.580534 -0.424462  _ ],[-0.275487 -0.516656 -0.491810  _ ],[-0.155648 -0.527739 -0.387386  _ ],[-0.226816 -0.457963 -0.357651  _ ],[-0.248916 -0.410190 -0.351436  _ ],[-0.069351 -0.372005 -0.342383  _ ],[-0.461895 -0.472801 -0.294806  _ ],[-0.622030 -0.544353 -0.415764  _ ],[-0.549999 -0.498090 -0.566955  _ ],[-0.658597 -0.545040 -0.653524  _ ],
17,[-0.562004 -0.598359 -0.376694  _ ],[-0.216198 -0.452703 -0.289205  _ ],[-0.081718 -0.539898 -0.437341  _ ],[-0.015412 -0.422950 -0.581664  _ ],[0.030959 -0.594551 -0.365532  _ ],[-0.073633 -0.549728 -0.283234  _ ],[-0.060342 -0.463070 -0.393059  _ ],[-0.467697 -0.548589 -0.490481  _ ],[-0.517867 -0.606694 -0.583918  _ ],[-0.571734 -0.615426 -0.649795  _ ],
18,[-0.102761 -0.602032 -0.595410  _ ],[0.079242 -0.698369 -0.455824  _ ],[0.103243 -0.681693 -0.369691  _ ],[0.031593 -0.644540 -0.424339  _ ],[0.231225 -0.664816 -0.494352  _ ],[0.301021 -0.536776 -0.435680  _ ],[0.377272 -0.532013 -0.347088  _ ],[0.091118 -0.637575 -0.315992  _ ],[-0.188978 -0.649163 -0.443955  _ ],[-0.202118 -0.598227 -0.522464  _ ],
19,[0.231363 -0.739627 -0.539048  _ ],[0.387352 -0.758958 -0.735499  _ ],[0.426834 -0.698918 -0.693705  _ ],[0.409741 -0.650717 -0.562781  _ ],[0.589645 -0.699812 -0.697782  _ ],[0.398414 -0.708348 -0.688090  _ ],[0.608851 -0.714735 -0.501455  _ ],[0.534555 -0.719244 -0.613135  _ ],[0.252793 -0.624410 -0.580091  _ ],[0.146458 -0.746505 -0.632772  _ ],
20,[0.635606 -0.834425 -0.774771  _ ],[0.649769 -0.820464 -0.667437  _ ],[0.624196 -0.855074 -0.731458  _ ],[0.621552 -0.776521 -0.744018  _ ],[0.669671 -0.786843 -0.679208  _ ],[0.733232 -0.804911 -0.720597  _ ],[0.769507 -0.763489 -0.695689  _ ],[0.806249 -0.859183 -0.768556  _ ],[0.717578 -0.817557 -0.687229  _ ],[0.661595 -0.834215 -0.693288  _ ],
21,[0.932060 -0.973167 0.000000  _ ],[0.833693 -0.986588 0.000000  _ ],[0.873817 -0.976453 0.000000  _ ],[0.923051 -0.967193 0.000000  _ ],[0.902897 -0.969728 0.000000  _ ],[0.900530 -0.980547 0.000000  _ ],[0.921807 -0.986986 0.000000  _ ],[0.910364 -0.987624 0.000000  _ ],[0.897310 -0.992127 0.000000  _ ],[0.940753 -1.000000 0.000000  _ ],
