,A,2,3,4,5,6,7,8,9,10,
5,[111 1215 114 0],[168 1600 161 0],[163 1647 157 0],[162 1747 172 0],[158 1752 184 0],[183 1800 157 0],[182 1629 171 0],[172 1617 153 0],[157 1762 159 0],[588 6499 606 0],
6,[111 1258 114 0],[146 1502 140 0],[184 1753 193 0],[146 1549 165 0],[143 1638 185 0],[143 1641 163 0],[183 1603 171 0],[157 1599 150 0],[151 1743 184 0],[602 6360 606 0],
7,[225 2295 214 0],[349 3290 323 0],[329 3431 340 0],[334 3306 352 0],[344 3386 324 0],[342 3311 387 0],[361 3423 346 0],[352 3197 343 0],[369 3504 357 0],[1272 12780 1272 0],
8,[230 2448 237 0],[319 3416 368 0],[350 3564 306 0],[350 3691 368 0],[339 3033 820 0],[331 3518 347 0],[313 3527 357 0],[351 3516 333 0],[394 3564 332 0],[1242 13073 1271 0],
9,[348 3836 342 0],[510 1159 4713 0],[495 515 5581 0],[528 546 5468 0],[488 524 5402 0],[511 471 5420 0],[487 535 5432 0],[490 5251 593 0],[519 5451 514 0],[1977 20527 1922 0],
10,[372 3908 403 0],[525 523 5725 0],[555 537 5868 0],[522 498 5667 0],[504 506 5800 0],[573 521 5858 0],[516 557 5660 0],[513 542 5579 0],[495 533 5976 0],[2028 21459 2035 0],
11,[78 1218 50 0],[72 117 1379 0],[75 73 1448 0],[100 82 1274 0],[76 78 1409 0],[80 69 1336 0],[74 76 1310 0],[80 1518 76 0],[94 1752 90 0],[334 343 6451 0],
12,[903 9529 937 0],[1548 10116 3551 0],[2377 9727 3495 0],[3319 1279 10684 0],[1657 1205 12415 0],[1496 1253 12359 0],[1216 11753 2214 0],[1316 12810 1336 0],[1302 13822 1303 0],[4988 52213 4774 0],
13,[901 10327 1042 0],[3033 4972 8815 0],[2451 1345 12141 0],[3244 1322 10726 0],[8238 1282 5946 0],[2601 1302 10991 0],[1289 4494 10890 0],[1361 13795 2184 0],[1376 14620 1653 0],[5065 57705 5160 0],
14,[914 9529 1494 0],[4460 1204 9199 0],[10366 1231 3064 0],[3787 1086 7960 0],[9991 1215 1988 0],[6028 1137 5561 0],[1216 1950 11550 0],[1184 7163 7563 0],[1351 12643 2953 0],[4674 54705 4776 0],
15,[1209 8528 3024 0],[7520 1266 6333 0],[10527 1141 3071 0],[6627 1139 5659 0],[10447 1153 1242 0],[9860 1176 2861 0],[1236 1188 12833 0],[1316 1493 14087 0],[1455 11763 4783 0],[4871 57614 5657 0],
16,[1163 1651 9148 0],[9882 1095 2663 0],[9242 1069 2567 0],[7613 1039 3326 0],[9405 1093 1371 0],[7338 1032 2661 0],[1094 1095 11127 0],[1222 1153 12626 0],[1980 2938 11549 0],[4887 26118 34963 0],
17,[5209 1477 5498 0],[11527 1154 1047 0],[10587 1134 1092 0],[10096 1096 1125 0],[10082 1075 1045 0],[9780 1091 1048 0],[11090 1059 1088 0],[1625 1125 12509 0],[8409 1198 7556 0],[59020 4572 4493 0],
18,[9161 753 693 0],[9282 884 873 0],[8787 940 904 0],[8099 910 936 0],[7905 880 944 0],[7957 891 899 0],[9355 1017 956 0],[10413 957 930 0],[12809 1038 1064 0],[52115 3885 3849 0],
19,[8914 682 669 0],[8176 879 936 0],[7844 882 938 0],[6518 847 922 0],[6975 906 929 0],[6741 855 922 0],[7804 917 927 0],[10292 944 1012 0],[12050 995 935 0],[51521 4002 3885 0],
