,A,2,3,4,5,6,7,8,9,10,
5,1,1,1,1,1,1,1,1,1,1,
6,1,1,1,1,1,1,1,1,1,1,
7,1,1,1,1,1,1,1,1,1,1,
8,1,1,1,1,5,5,1,1,1,1,
9,1,1,5,5,5,5,5,1,1,1,
10,1,5,5,5,5,5,5,5,5,1,
11,5,5,5,5,4,5,5,5,1,1,
12,5,4,4,1,5,4,4,1,0,1,
13,0,5,0,4,1,4,5,1,1,1,
14,0,0,0,0,4,5,5,4,1,1,
15,1,4,4,0,0,0,4,0,5,1,
16,5,5,4,5,4,1,4,1,4,1,
17,5,1,1,0,0,0,0,5,1,0,
18,4,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,
A-2,1,1,1,5,5,5,1,1,1,1,
A-3,1,1,1,1,1,5,1,1,1,1,
A-4,1,1,1,1,1,5,1,1,1,1,
A-5,1,1,1,5,5,5,1,1,1,1,
A-6,1,1,5,5,5,4,1,1,1,1,
A-7,1,0,4,0,0,4,0,0,1,1,
A-8,0,0,0,4,0,4,0,0,0,0,
A-9,0,0,0,0,0,0,0,0,0,0,
A-10,0,0,0,0,0,4,0,0,0,0,
A-A,3,3,3,3,3,3,3,3,3,3,
2-2,1,3,3,3,3,3,3,3,3,3,
3-3,3,3,3,3,3,3,3,3,3,3,
4-4,1,1,3,5,1,4,1,1,3,3,
5-5,5,5,5,5,5,5,5,5,1,1,
6-6,3,3,3,3,3,3,3,3,3,3,
7-7,3,3,3,3,3,3,3,3,3,3,
8-8,3,3,3,3,3,3,3,3,3,3,
9-9,3,0,3,0,3,0,0,0,3,3,
10-10,0,0,0,0,0,0,0,0,0,0,
