,A,2,3,4,5,6,7,8,9,10,
5,4159,5579,5538,6002,6019,5906,5743,5919,5949,21808,
6,4023,5335,5754,5378,5682,5856,5719,5705,5835,21937,
7,8224,11441,11345,11631,11551,11804,11635,11630,11845,43954,
8,8304,11828,12107,12422,11999,11550,11997,12244,12233,45117,
9,12789,18397,18061,16230,14051,18628,18219,18756,18725,69732,
10,13705,12529,19719,19855,20153,20068,19468,18036,19536,73974,
11,3603,5273,5333,5370,5228,4528,5100,5209,4535,19823,
12,33106,45240,41960,37674,31737,43211,45169,47267,47858,179238,
13,35739,33699,30128,48650,39397,42537,44259,50748,52003,194880,
14,33599,40167,39653,34517,13992,33252,42697,46788,49116,184185,
15,35330,23529,44359,44155,42505,34322,46593,26326,48269,196400,
16,25723,41131,40008,38884,38234,32273,41712,48403,49778,135356,
17,31406,43033,41923,39015,37457,35030,41572,45539,28008,194320,
18,31573,35656,34671,32214,31952,28720,35814,41171,44593,170969,
19,30744,35514,33918,32045,30870,25907,33929,41106,41601,172522,
20,14871,10436,7250,5435,4957,3113,8250,16965,19939,80127,
21,12538,8097,7526,5771,5269,3442,9071,13475,16766,68646,
A-2,3820,5596,5898,5095,3856,5865,5883,5792,5852,22012,
A-3,4105,6522,5260,5439,6252,2122,6416,6216,6396,23388,
A-4,4137,6569,6303,5971,5994,4622,6425,6337,6564,24733,
A-5,4593,7190,7089,7147,6634,6543,7291,7171,7176,26863,
A-6,5222,8116,7640,4855,7746,6757,7920,7794,7785,29544,
A-7,5705,2165,4492,8418,8149,7368,8457,8595,8811,32703,
A-8,5950,9036,8948,8830,7531,7536,8984,9139,9425,35032,
A-9,6365,9440,9343,9013,8526,6739,9056,9932,9298,39045,
A-10,3804,4943,4205,3960,3629,2594,4112,5781,5919,24539,
A-A,3473,5704,5531,5743,5589,5582,5450,5710,5548,21135,
2-2,3730,4915,5576,5859,5619,5399,5482,5280,5533,19854,
3-3,3887,5499,4730,5672,5665,5517,5319,5523,5315,20145,
4-4,3731,2340,2492,2087,2437,2349,2457,2456,5478,20407,
5-5,1492,2491,2399,2366,2072,2411,2322,2361,1756,8771,
6-6,3699,5547,5430,5563,5710,4880,5450,5408,5216,20367,
7-7,3850,5600,5515,5469,5408,5846,4859,5647,5598,19948,
8-8,3872,5487,5674,5730,5766,5455,5577,5005,5466,20032,
9-9,3844,5412,5803,5461,5468,5560,2398,5428,4724,20330,
10-10,28437,41378,41172,41326,41408,41050,41221,41394,41191,146726,
